videoId,videoTitle,comment,author,likeCount,publishedAt
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,Iphone 17 pro design ishttapedathavr evide cammon...,@CAPTAIN-JR-YT,13,2025-10-10T07:19:46Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,Thank you so much your Bro Actually I waiting for your review I always watching your all videos because planned to buying I Phone But confirmed to which phone is buying but after your video I my confuses is cleared Bro Thank you so much Bro,@IsmailBathisha,0,2025-10-10T08:30:14Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,Waiting ayirunnu for your iPhone 17 review,@Meenudiya,5,2025-10-10T04:35:35Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,Bro editing l mass annay bro,@KLWWWanmie,2,2025-10-10T09:31:05Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,Me with sage 17. Went from 13 pro to 17. Theres more value with non pro version this year,@afsallais9825,4,2025-10-10T05:30:43Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,Only drawbacks with iphone 17 are its 8GB RAM and lack of optical zoom. It will miss out on future AI features coming with Apple Intelligence.,@dheeraja511,4,2025-10-10T04:19:19Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,"As a long term user of a couple of apple devices.....I would say ....once we start integrating apple devices for our personal professional life, we will be thrilled to be part of an ecosystem that's optimised in such a way that all these devices ....The iphone, MacBook, Airpods, iPad apple watch .... work together how these devices and softwares support each other to make the whole user experience seamless intuitive......Hats off to proud to be part of ECOSYSTEM....",@Vitroye-e7m,1,2026-02-07T18:29:43Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,Shazz bro ithing enik thannoodey.. Content itt njan reach aayit aa paisa thirich adakkam,@Aladin1717,0,2025-10-10T14:49:26Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,"Issues with this video 1 Durability The iPhone 16 which you told to be strong durable is made up of the aluminum body similar to the iPhone 17 and iPhone 17 pro series. So, iPhone 17 pro should also have the same durability standards to your iPhone 16. But, scratches will be an issue on the 17 pro's plateau due to the sharp edges it has. 2 Charging You do not need to buy Apple's 40W charger to reach the claimed charging speeds, even with a non AVS spec charger like Samsung's 45W charger, you can reach that same charging speeds. You can refer to GSMArena's 17 Pro Review, in its Charging Speed portion. It talks about this. Apart from these, the other points stay valid and the iPhone 17 is plenty enough for 99 of the people.",@kevinthomas1555,7,2025-10-10T06:41:55Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,Long term use review needed for iphn 17,@arjunb6820,0,2025-10-10T16:46:21Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,Eppolum 13 ann best,@calvi.in4k,3,2025-10-11T02:42:36Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,most honest review I have seeen fr,@GamingbyWPG,0,2025-10-14T14:01:03Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,Editing level 9999999999,@Amazillleeee,1,2025-10-10T18:20:07Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,"shazzam annan ith launch ill thanne ariyarnu pro nte use illa n , he also said 1 month n ullil 17 review idumen , he know what he is doing , content um ayi review um ayi iphonephobias promotion um ayi, apple video itta utube ill views um ayi, the master brain , love u bro",@pranavpradeep7351,7,2025-10-10T04:14:26Z
uVm2Q0EMiR0,I Am Returning My iPhone 17 Pro | 10 Days Review | Malayalam,bro video shooting cheyyunnath eth phone? video clarity spr,@arunrp92,0,2025-12-20T12:44:16Z
